Accession,Locus,Type,Description,Other,Name(Type),Source
AT1G53570,AT1G53570.7,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.4,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.3,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.5,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.6,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.1,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.2,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.7,member,of,the,MEKK,pathogen.csv
AT1G53570,AT1G53570.4,member,of,the,MEKK,pathogen.csv
AT1G53590,AT1G53590.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G54040,AT1G54040.1,interacts,with,WRKY53.,Involved,pathogen.csv
AT1G54040,AT1G54040.3,interacts,with,WRKY53.,Involved,pathogen.csv
AT1G54040,AT1G54040.2,interacts,with,WRKY53.,Involved,pathogen.csv
AT1G54040,AT1G54040.1,interacts,with,WRKY53.,Involved,WYKY.csv
AT1G54040,AT1G54040.2,interacts,with,WRKY53.,Involved,WYKY.csv
AT1G54040,AT1G54040.3,interacts,with,WRKY53.,Involved,WYKY.csv
AT1G54115,AT1G54115.1,cation,(Na,and,K),calcium.csv
AT1G54410,AT1G54410.1,KS-type,dehydrin,can,reduce,ROS.csv
AT1G54450,AT1G54450.1,family,protein;(source:Araport11),"nucleus,",cultured,calcium.csv
AT1G54530,AT1G54530.1,hand,family,protein;(source:Araport11),biological,calcium.csv
AT1G54960,AT1G54960.2,MEKK,subfamily,"cytoplasm,",LP.02,MAPk.csv
AT1G54960,AT1G54960.1,MEKK,subfamily,ANP2;,MAPKKK2;,MAPk.csv
AT1G55010,AT1G55010.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G55010,AT1G55010.2,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G55020,AT1G55020.1,defense,gene,conferring,resistance,defense.csv
AT1G55600,AT1G55600.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G55720,AT1G55720.2,Low,affinity,calcium,antiporter,calcium.csv
AT1G55720,AT1G55720.1,Low,affinity,calcium,antiporter,calcium.csv
AT1G55730,AT1G55730.1,Low,affinity,calcium,antiporter,calcium.csv
AT1G55730,AT1G55730.2,Low,affinity,calcium,antiporter,calcium.csv
AT1G55870,AT1G55870.2,poly(A)-specific,"ribonuclease,",AtPARN.,Expression,Salicylic Acid.csv
AT1G55870,AT1G55870.3,poly(A)-specific,"ribonuclease,",AtPARN.,Expression,Salicylic Acid.csv
AT1G55870,AT1G55870.4,poly(A)-specific,"ribonuclease,",AtPARN.,Expression,Salicylic Acid.csv
AT1G55870,AT1G55870.1,poly(A)-specific,"ribonuclease,",AtPARN.,Expression,Salicylic Acid.csv
AT1G56190,AT1G56190.2,a,pair,of,plastid,infection.csv
AT1G56190,AT1G56190.1,a,pair,of,plastid,infection.csv
AT1G56190,AT1G56190-CVI,evolutionarily,conserved,nucleus-encoded,chloroplast,infection.csv
AT1G56570,AT1G56570.2,mitochondria-localized,E+-type,pentatricopeptide,repeat,defense.csv
AT1G56570,AT1G56570.1,mitochondria-localized,E+-type,pentatricopeptide,repeat,defense.csv
AT1G57610,AT1G57610.1,(DUF607);(source:Araport11),MCU2;,MITOCHONDRIAL,CALCIUM,calcium.csv
AT1G57610,AT1G57610.2,(DUF607);(source:Araport11),MCU2;,MITOCHONDRIAL,CALCIUM,calcium.csv
AT1G57610,AT1G57610.4,(DUF607);(source:Araport11),calcium,channel,"activity,",calcium.csv
AT1G57610,AT1G57610.3,(DUF607);(source:Araport11),MCU2;,MITOCHONDRIAL,CALCIUM,calcium.csv
AT1G59580,AT1G59580.1,mitogen-activated,kinase,involved,in,immunity.csv
AT1G59580,AT1G59580.2,mitogen-activated,kinase,involved,in,immunity.csv
AT1G59870,AT1G59870.1,cassette,transporter.,Localized,to,infection.csv
AT1G59870,AT1G59870.1,cassette,transporter.,Localized,to,pathogen.csv
AT1G59870,AT1G59870.1,cassette,transporter.,Localized,to,Salicylic Acid.csv
AT1G60010,AT1G60010.1,down-regulated,after,infection,by,infection.csv
AT1G61070,AT1G61070.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G61120,AT1G61120.1,geranyllinalool,synthase,that,produces,defense.csv
AT1G61120,AT1G61120.1,geranyllinalool,synthase,that,produces,fungal.csv
AT1G61120,AT1G61120.1,geranyllinalool,synthase,that,produces,Salicylic Acid.csv
AT1G61380,AT1G61380.2,membrane,localized,S-domain,receptor,immunity.csv
AT1G61380,AT1G61380.1,membrane,localized,S-domain,receptor,immunity.csv
AT1G61850,AT1G61850.2,non-specific,lipase,that,hydrolyzes,fungus.csv
AT1G61850,AT1G61850.1,non-specific,lipase,that,hydrolyzes,fungus.csv
AT1G61950,AT1G61950.1,Calcium,Dependent,Protein,"Kinase,",calcium.csv
AT1G62300,AT1G62300.1,transcription,factor,WRKY6.,Regulates,WYKY.csv
AT1G62480,AT1G62480.1,protein-like,protein;(source:Araport11),"nucleus,",response,calcium.csv
AT1G62760,AT1G62760.1,inhibitor,that,controls,PME,infection.csv
AT1G62820,AT1G62820.1,family,protein;(source:Araport11),CML14,"nucleus,",calcium.csv
AT1G63210,AT1G63210.1,a,putative,WG/GW-repeat,protein,polarity.csv
AT1G63220,AT1G63220.2,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G63220,AT1G63220.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G63700,AT1G63700.2,MEKK,"subfamily,",a,component,MAPk.csv
AT1G63700,AT1G63700.1,MEKK,"subfamily,",a,component,MAPk.csv
AT1G64000,AT1G64000.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G64060,AT1G64060.1,AtrbohD,gene,to,fine,infection.csv
AT1G64140,AT1G64140.UORF1,L,mature,pollen,"stage,",WYKY.csv
AT1G64140,AT1G64140.1,factor;(source:Araport11),extracellular,"region,",L,WYKY.csv
AT1G64280,AT1G64280.1,is,a,key,regulator,immunity.csv
AT1G64280,AT1G64280.1,is,a,key,regulator,pathogen.csv
AT1G64280,AT1G64280.1,is,a,key,regulator,Salicylic Acid.csv
AT1G64480,AT1G64480.2,protein,"8,",member,of,calcium.csv
AT1G64480,AT1G64480.1,protein,"8,",member,of,calcium.csv
AT1G64480,AT1G64480.3,protein,"8,",member,of,calcium.csv
AT1G64480,AT1G64480.4,protein,"8,",member,of,calcium.csv
AT1G64550,AT1G64550.1,member,of,GCN,subfamily.,MAMPs.csv
AT1G64700,AT1G64700.1,up-regulated,after,infection,by,infection.csv
AT1G64790,AT1G64790.2,is,a,HEAT,repeat,immunity.csv
AT1G64790,AT1G64790.1,is,a,HEAT,repeat,immunity.csv
AT1G64790,AT1G64790.3,is,a,HEAT,repeat,immunity.csv
AT1G64850,AT1G64850.1,hand,family,protein;(source:Araport11),L,calcium.csv
AT1G65060,AT1G65060.2,isoform,of,4-coumarate:CoA,ligase,fungal.csv
AT1G65060,AT1G65060.1,isoform,of,4-coumarate:CoA,ligase,fungal.csv
AT1G65060,AT1G65060.1,isoform,of,4-coumarate:CoA,ligase,infection.csv
AT1G65060,AT1G65060.2,isoform,of,4-coumarate:CoA,ligase,infection.csv
AT1G65440,AT1G65440.4,yeast,Spt6,"protein,",which,polarity.csv
AT1G65440,AT1G65440.1,yeast,Spt6,"protein,",which,polarity.csv
AT1G65440,AT1G65440.3,yeast,Spt6,"protein,",which,polarity.csv
AT1G65440,AT1G65440.2,yeast,Spt6,"protein,",which,polarity.csv
AT1G65484,AT1G65484.1,which,functions,in,plant,defense.csv
AT1G65484,AT1G65484.2,which,functions,in,plant,defense.csv
AT1G65484,AT1G65484.1,which,functions,in,plant,pathogen.csv
AT1G65484,AT1G65484.2,which,functions,in,plant,pathogen.csv
AT1G65486,AT1G65486.3,which,functions,in,plant,defense.csv
AT1G65486,AT1G65486.2,which,functions,in,plant,defense.csv
AT1G65486,AT1G65486.1,which,functions,in,plant,defense.csv
AT1G65486,AT1G65486.4,which,functions,in,plant,defense.csv
AT1G65486,AT1G65486.1,which,functions,in,plant,pathogen.csv
AT1G65486,AT1G65486.2,which,functions,in,plant,pathogen.csv
AT1G65486,AT1G65486.3,which,functions,in,plant,pathogen.csv
AT1G65486,AT1G65486.4,which,functions,in,plant,pathogen.csv
AT1G65490,AT1G65490.1,which,functions,in,plant,defense.csv
AT1G65490,AT1G65490.3,which,functions,in,plant,defense.csv
AT1G65490,AT1G65490.2,which,functions,in,plant,defense.csv
AT1G65490,AT1G65490.1,which,functions,in,plant,pathogen.csv
AT1G65490,AT1G65490.3,which,functions,in,plant,pathogen.csv
AT1G65490,AT1G65490.2,which,functions,in,plant,pathogen.csv
AT1G65500,AT1G65500.1,which,functions,in,plant,defense.csv
AT1G65500,AT1G65500.1,which,functions,in,plant,pathogen.csv
AT1G65510,AT1G65510.1,which,functions,in,plant,defense.csv
AT1G65510,AT1G65510.2,which,functions,in,plant,defense.csv
AT1G65510,AT1G65510.1,which,functions,in,plant,pathogen.csv
AT1G65510,AT1G65510.2,which,functions,in,plant,pathogen.csv
AT1G65930,AT1G65930.1,NADP+-isocitrate,dehydrogenase,that,is,defense.csv
AT1G66100,AT1G66100.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G66360,AT1G66360.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G66480,AT1G66480.1,chloroplast,avoidance,movement,under,infection.csv
AT1G66550,AT1G66550.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G66550,AT1G66550.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G66560,AT1G66560.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G66600,AT1G66600.1,of,WRKY,Transcription,Factor;,WYKY.csv
AT1G66900,AT1G66900.1,de-S-acylation,enzyme,which,specifically,immunity.csv
AT1G67800,AT1G67800.3,phospholipid-binding,protein),family;(source:Araport11),RGLG5,calcium.csv
AT1G67800,AT1G67800.6,phospholipid-binding,protein),family;(source:Araport11),"nucleus,",calcium.csv
AT1G67800,AT1G67800.5,phospholipid-binding,protein),family;(source:Araport11),extracellular,calcium.csv
AT1G67800,AT1G67800.4,phospholipid-binding,protein),family;(source:Araport11),RGLG5,calcium.csv
AT1G67800,AT1G67800.1,phospholipid-binding,protein),family;(source:Araport11),RGLG5,calcium.csv
AT1G67800,AT1G67800.2,phospholipid-binding,protein),family;(source:Araport11),RGLG5,calcium.csv
AT1G67950,AT1G67950.1,"partner,",negatively,regulates,ROS-mediated,defense.csv
AT1G67950,AT1G67950.3,"partner,",negatively,regulates,ROS-mediated,defense.csv
AT1G67950,AT1G67950.4,"partner,",negatively,regulates,ROS-mediated,defense.csv
AT1G67950,AT1G67950.2,"partner,",negatively,regulates,ROS-mediated,defense.csv
AT1G68090,AT1G68090.1,calcium-binding,protein,annexin,(AnnAt5).,calcium.csv
AT1G68090,AT1G68090.2,calcium-binding,protein,annexin,(AnnAt5).,calcium.csv
AT1G68150,AT1G68150.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G68310,AT1G68310.1,protein,that,has,been,polarity.csv
AT1G68310,AT1G68310.2,protein,that,has,been,polarity.csv
AT1G69170,AT1G69170.1,Required,for,the,resistance,defense.csv
AT1G69270,AT1G69270.1,a,leucine-rich,receptor-like,kinase,polarity.csv
AT1G69310,AT1G69310.2,a,member,of,the,WYKY.csv
AT1G69310,AT1G69310.3,a,member,of,the,WYKY.csv
AT1G69310,AT1G69310.1,a,member,of,the,WYKY.csv
AT1G69310,AT1G69310.4,a,member,of,the,WYKY.csv
AT1G69810,AT1G69810.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G69810,AT1G69810.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G70170,AT1G70170.1,Expression,induced,by,fungal,fungal.csv
AT1G70170,AT1G70170.1,Expression,induced,by,fungal,pathogen.csv
AT1G70260,AT1G70260.1,endoplasmic,reticulum,(ER)-localized,nodulin,pathogen.csv
AT1G70410,AT1G70410.2,putative,beta-carbonic,anhydrase,betaCA4.,immunity.csv
AT1G70410,AT1G70410.3,putative,beta-carbonic,anhydrase,betaCA4.,immunity.csv
AT1G70410,AT1G70410.1,putative,beta-carbonic,anhydrase,betaCA4.,immunity.csv
AT1G70520,AT1G70520.1,cysteine-rich,receptor-like,protein,kinase,MAMPs.csv
AT1G70800,AT1G70800.1,novel,NPH3/phototropin,binding,factor,calcium.csv
AT1G70810,AT1G70810.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G70940,AT1G70940.1,of,auxin,efflux,and,polarity.csv
AT1G71002,AT1G71002.1,microRNA,that,targets,several,infection.csv
AT1G71002,AT1G71002.1,microRNA,that,targets,several,pathogen.csv
AT1G71220,AT1G71220.3,glucosyltransferase.,Non-receptor,component,required,immunity.csv
AT1G71220,AT1G71220.2,glucosyltransferase.,Non-receptor,component,required,immunity.csv
AT1G71220,AT1G71220.1,glucosyltransferase.,Non-receptor,component,required,immunity.csv
AT1G72260,AT1G72260.1,thionin,which,is,a,pathogen.csv
AT1G72840,AT1G72840.3,LRR,protein.,It,is,pathogen.csv
AT1G72840,AT1G72840.2,LRR,protein.,It,is,pathogen.csv
AT1G72840,AT1G72840.1,LRR,protein.,It,is,pathogen.csv
AT1G72840,AT1G72840.4,LRR,protein.,It,is,pathogen.csv
AT1G72860,AT1G72860.2,LRR,protein.,It,is,pathogen.csv
AT1G72860,AT1G72860.3,LRR,protein.,It,is,pathogen.csv
AT1G72860,AT1G72860.1,LRR,protein.,It,is,pathogen.csv
AT1G72930,AT1G72930.1,protein,(TIR),protein.,It,pathogen.csv
AT1G72930,AT1G72930.2,protein,(TIR),protein.,It,pathogen.csv
AT1G73080,AT1G73080.1,leucine-rich,repeat,receptor,kinase.,immunity.csv
AT1G73080,AT1G73080.1,leucine-rich,repeat,receptor,kinase.,pathogen.csv
AT1G73260,AT1G73260.1,trypsin,inhibitor,involved,in,pathogen.csv
AT1G73580,AT1G73580.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G73590,AT1G73590.1,auxin,efflux,carrier,involved,polarity.csv
AT1G73620,AT1G73620.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G73630,AT1G73630.1,calcium-binding,protein,family;(source:Araport11),"nucleus,",calcium.csv
AT1G73660,AT1G73660.1,protein,with,similarity,to,MAPk.csv
AT1G73805,AT1G73805.1,Deficient,1,"(SARD1),",a,Salicylic Acid.csv
AT1G73930,AT1G73930.1,stabilization,protein;(source:Araport11),"chloroplast,",M,polarity.csv
AT1G73930,AT1G73930.2,stabilization,protein;(source:Araport11),"chloroplast,",M,polarity.csv
AT1G74010,AT1G74010.1,superfamily,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT1G74360,AT1G74360.1,a,serine/threonine,kinase,involved,defense.csv
AT1G74710,AT1G74710.2,protein,with,isochorismate,synthase,Salicylic Acid.csv
AT1G74710,AT1G74710.1,protein,with,isochorismate,synthase,Salicylic Acid.csv
AT1G74740,AT1G74740.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT1G75040,AT1G75040.1,involved,in,response,to,pathogen.csv
AT1G75050,AT1G75050.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G75380,AT1G75380.4,nuclease,involved,in,ABA-mediated,defense.csv
AT1G75380,AT1G75380.2,nuclease,involved,in,ABA-mediated,defense.csv
AT1G75380,AT1G75380.1,nuclease,involved,in,ABA-mediated,defense.csv
AT1G75380,AT1G75380.3,nuclease,involved,in,ABA-mediated,defense.csv
AT1G75800,AT1G75800.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G75830,AT1G75830.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G76040,AT1G76040.3,Calcium,Dependent,Protein,Kinase,calcium.csv
AT1G76040,AT1G76040.4,Calcium,Dependent,Protein,Kinase,calcium.csv
AT1G76040,AT1G76040.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT1G76040,AT1G76040.2,Calcium,Dependent,Protein,Kinase,calcium.csv
AT1G76600,AT1G76600.1,up-regulated,after,infection,by,infection.csv
AT1G76640,AT1G76640.1,family,protein;(source:Araport11),CALMODULIN,LIKE,calcium.csv
AT1G76680,AT1G76680.1,member,of,an,alpha/beta,Salicylic Acid.csv
AT1G76680,AT1G76680.2,member,of,an,alpha/beta,Salicylic Acid.csv
AT1G76960,AT1G76960.1,contains,WRKY40,binding,motifs.,WYKY.csv
AT1G77470,AT1G77470.1,protein,with,high,homology,pathogen.csv
AT1G77470,AT1G77470.1,protein,with,high,homology,Salicylic Acid.csv
AT1G77630,AT1G77630.1,lysin-motif,protein,mediating,bacterial,immunity.csv
AT1G77630,AT1G77630.1,lysin-motif,protein,mediating,bacterial,infection.csv
AT1G78780,AT1G78780.1,protein;(source:Araport11),LP.04,four,leaves,pathogen.csv
AT1G78780,AT1G78780.2,protein;(source:Araport11),"cytoplasm,",LP.04,four,pathogen.csv
AT1G78780,AT1G78780.3,protein;(source:Araport11),LP.04,four,leaves,pathogen.csv
AT1G78780,AT1G78780.5,protein;(source:Araport11),LP.04,four,leaves,pathogen.csv
AT1G78780,AT1G78780.4,protein;(source:Araport11),"cytoplasm,",LP.04,four,pathogen.csv
AT1G79090,AT1G79090.3,component,of,the,mRNA,defense.csv
AT1G79090,AT1G79090.2,component,of,the,mRNA,defense.csv
AT1G79090,AT1G79090.1,component,of,the,mRNA,defense.csv
AT1G79090,AT1G79090.3,component,of,the,mRNA,immunity.csv
AT1G79090,AT1G79090.1,component,of,the,mRNA,immunity.csv
AT1G79090,AT1G79090.2,component,of,the,mRNA,immunity.csv
AT1G79090,AT1G79090.3,component,of,the,mRNA,PAMPs.csv
AT1G79090,AT1G79090.1,component,of,the,mRNA,PAMPs.csv
AT1G79090,AT1G79090.2,component,of,the,mRNA,PAMPs.csv
AT1G79090,AT1G79090.3,component,of,the,mRNA,pathogen.csv
AT1G79090,AT1G79090.1,component,of,the,mRNA,pathogen.csv
AT1G79090,AT1G79090.2,component,of,the,mRNA,pathogen.csv
AT1G80180,AT1G80180.1,substrate,of,the,MAPK,MAPk.csv
AT1G80590,AT1G80590.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G80600,AT1G80600.1,protein,1,(WIN1).,Interacts,defense.csv
AT1G80680,AT1G80680.1,early-flowering,"phenotype,",encodes,a,defense.csv
AT1G80680,AT1G80680.1,early-flowering,"phenotype,",encodes,a,pathogen.csv
AT1G80840,AT1G80840.1,factor.,Binds,W-box,sequences,fungal.csv
AT1G80840,AT1G80840.1,factor.,Binds,W-box,sequences,pathogen.csv
AT1G80840,AT1G80840.1,factor.,Binds,W-box,sequences,WYKY.csv
AT1G80910,AT1G80910.1,CCZ1-like,protein,(DUF1712);(source:Araport11),CALCIUM,calcium.csv
AT2G01340,AT2G01340.1,protein,whose,expression,is,infection.csv
AT2G01540,AT2G01540.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT2G02100,AT2G02100.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G02120,AT2G02120.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G02130,AT2G02130.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G02140,AT2G02140.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G02360,AT2G02360.1,F-box,protein,containing,a,pathogen.csv
AT2G03070,AT2G03070.1,subunit,of,the,Mediator,defense.csv
AT2G03150,AT2G03150.2,nuclear-localized,calcium-binding,protein,RSA1,calcium.csv
AT2G03150,AT2G03150.1,nuclear-localized,calcium-binding,protein,RSA1,calcium.csv
AT2G03300,AT2G03300.1,a,Toll/Interleukin-1,receptor,domain,defense.csv
AT2G03340,AT2G03340.1,DNA-binding,protein,3,(WRKY3).,WYKY.csv
AT2G03440,AT2G03440.1,the,transcriptional,level,by,infection.csv
AT2G03760,AT2G03760.1,brassinosteroid,sulfotransferase.,In,vitro,pathogen.csv
AT2G03760,AT2G03760.1,brassinosteroid,sulfotransferase.,In,vitro,Salicylic Acid.csv
AT2G04280,AT2G04280.1,protein;(source:Araport11),Golgi,"apparatus,",Golgi,calcium.csv
AT2G04880,AT2G04880.2,a,member,of,the,Salicylic Acid.csv
AT2G04880,AT2G04880.1,a,member,of,the,Salicylic Acid.csv
AT2G04880,AT2G04880.2,a,member,of,the,WYKY.csv
AT2G04880,AT2G04880.1,a,member,of,the,WYKY.csv
AT2G05520,AT2G05520.2,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G05520,AT2G05520.6,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G05520,AT2G05520.5,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G05520,AT2G05520.1,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G05520,AT2G05520.4,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G05520,AT2G05520.3,glycine-rich,protein,that,is,Salicylic Acid.csv
AT2G13350,AT2G13350.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT2G13370,AT2G13370.2,has,large,number,of,MAPk.csv
AT2G13370,AT2G13370.3,has,large,number,of,MAPk.csv
AT2G13370,AT2G13370.1,has,large,number,of,MAPk.csv
AT2G13810,AT2G13810.1,a,L-lysine,alpha-aminotransferase.,It,defense.csv
AT2G14060,AT2G14060.2,protein,whose,sequence,is,Salicylic Acid.csv
AT2G14060,AT2G14060.1,protein,whose,sequence,is,Salicylic Acid.csv
AT2G14490,AT2G14490.1,Calcium-dependent,ARF-type,GTPase,activating,calcium.csv
AT2G14560,AT2G14560.4,a,member,of,the,defense.csv
AT2G14560,AT2G14560.3,a,member,of,the,defense.csv
AT2G14560,AT2G14560.2,a,member,of,the,defense.csv
AT2G14560,AT2G14560.1,a,member,of,the,defense.csv
AT2G14560,AT2G14560.4,a,member,of,the,pathogen.csv
AT2G14560,AT2G14560.3,a,member,of,the,pathogen.csv
AT2G14560,AT2G14560.1,a,member,of,the,pathogen.csv
AT2G14560,AT2G14560.2,a,member,of,the,pathogen.csv
AT2G14580,AT2G14580.1,"protein,",encodes,a,basic,pathogen.csv
AT2G14580,AT2G14580.1,"protein,",encodes,a,basic,Salicylic Acid.csv
AT2G14610,AT2G14610.1,expression,is,induced,in,pathogen.csv
AT2G15010,AT2G15010.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G15050,AT2G15050.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G15050,AT2G15050.2,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G15050,AT2G15050.3,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G15325,AT2G15325.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G16760,AT2G16760.1,superfamily,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT2G17090,AT2G17090.1,N-myrystolylated,plasma,membrane,associated,MAPk.csv
AT2G17260,AT2G17260.1,glutamate,receptor.,Involved,in,calcium.csv
AT2G17265,AT2G17265.1,homoserine,kinase,(HSK),which,pathogen.csv
AT2G17290,AT2G17290.2,dependent,protein,kinase,6,calcium.csv
AT2G17290,AT2G17290.1,dependent,protein,kinase,6,calcium.csv
AT2G17310,AT2G17310.1,F-Box,protein,that,regulates,defense.csv
AT2G17310,AT2G17310.1,F-Box,protein,that,regulates,Salicylic Acid.csv
AT2G17860,AT2G17860.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT2G17890,AT2G17890.1,member,of,Calcium,Dependent,calcium.csv
AT2G17950,AT2G17950.1,controlling,the,stem,cell,infection.csv
AT2G17990,AT2G17990.1,kinase,1,adaptor,protein,calcium.csv
AT2G17990,AT2G17990.2,kinase,1,adaptor,protein,calcium.csv
AT2G17990,AT2G17990.3,kinase,1,adaptor,protein,calcium.csv
AT2G18300,AT2G18300.2,protein,involved,in,positive,immunity.csv
AT2G18300,AT2G18300.1,protein,involved,in,positive,immunity.csv
AT2G18300,AT2G18300.3,protein,involved,in,positive,immunity.csv
AT2G18370,AT2G18370.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G19190,AT2G19190.1,receptor-like,protein,kinase,that,defense.csv
AT2G19190,AT2G19190.1,receptor-like,protein,kinase,that,WYKY.csv
AT2G19970,AT2G19970.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT2G19980,AT2G19980.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT2G19990,AT2G19990.1,PR-1-like,protein,homolog,that,infection.csv
AT2G19990,AT2G19990.1,PR-1-like,protein,homolog,that,pathogen.csv
AT2G20990,AT2G20990.2,protein,specifically,localized,to,calcium.csv
AT2G20990,AT2G20990.3,protein,specifically,localized,to,calcium.csv
AT2G20990,AT2G20990.1,protein,specifically,localized,to,calcium.csv
AT2G21120,AT2G21120.1,putative,magnesium,transporter,that,immunity.csv
AT2G21120,AT2G21120.1,putative,magnesium,transporter,that,infection.csv
AT2G21150,AT2G21150.1,nuclear,localized,XAP5,family,small_RNAs.csv
AT2G21340,AT2G21340.2,homolog,of,the,multidrug,infection.csv
AT2G21340,AT2G21340.1,homolog,of,the,multidrug,infection.csv
AT2G21340,AT2G21340.2,homolog,of,the,multidrug,pathogen.csv
AT2G21340,AT2G21340.1,homolog,of,the,multidrug,pathogen.csv
AT2G21660,AT2G21660.1,small,glycine-rich,RNA,binding,pathogen.csv
AT2G21660,AT2G21660.2,small,glycine-rich,RNA,binding,pathogen.csv
AT2G21900,AT2G21900.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G22300,AT2G22300.1,putative,CAM,binding,transcription,defense.csv
AT2G22300,AT2G22300.2,putative,CAM,binding,transcription,defense.csv
AT2G22300,AT2G22300.3,putative,CAM,binding,transcription,defense.csv
AT2G22300,AT2G22300.1,putative,CAM,binding,transcription,fungal.csv
AT2G22300,AT2G22300.2,putative,CAM,binding,transcription,fungal.csv
AT2G22300,AT2G22300.3,putative,CAM,binding,transcription,fungal.csv
AT2G22300,AT2G22300.1,putative,CAM,binding,transcription,pathogen.csv
AT2G22300,AT2G22300.2,putative,CAM,binding,transcription,pathogen.csv
AT2G22300,AT2G22300.3,putative,CAM,binding,transcription,pathogen.csv
AT2G22370,AT2G22370.1,subunit,of,the,mediator,defense.csv
AT2G22370,AT2G22370.1,subunit,of,the,mediator,Salicylic Acid.csv
AT2G22770,AT2G22770.1,development,of,ER,bodies.,fungus.csv
AT2G23270,AT2G23270.1,precursor,protein,of,a,immunity.csv
AT2G23270,AT2G23270.1,precursor,protein,of,a,PAMPs.csv
AT2G23320,AT2G23320.1,DNA-binding,protein,15,(WRKY15).,WYKY.csv
AT2G23320,AT2G23320.2,DNA-binding,protein,15,(WRKY15).,WYKY.csv
AT2G23790,AT2G23790.1,(DUF607);(source:Araport11),"chloroplast,",calcium,channel,calcium.csv
AT2G24570,AT2G24570.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G24810,AT2G24810.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT2G25000,AT2G25000.1,factor.,Forms,protein,complexes,fungal.csv
AT2G25000,AT2G25000.2,factor.,Forms,protein,complexes,fungal.csv
AT2G25000,AT2G25000.3,factor.,Forms,protein,complexes,fungal.csv
AT2G25000,AT2G25000.4,factor.,Forms,protein,complexes,fungal.csv
AT2G25000,AT2G25000.1,factor.,Forms,protein,complexes,pathogen.csv
AT2G25000,AT2G25000.2,factor.,Forms,protein,complexes,pathogen.csv
AT2G25000,AT2G25000.3,factor.,Forms,protein,complexes,pathogen.csv
AT2G25000,AT2G25000.4,factor.,Forms,protein,complexes,pathogen.csv
